Word,Count
rock,38
modest,38
minister,38
infinite,38
places,38
misery,38
all's,38
wrong'd,38
ladyship,38
sweat,38
perform,38
avoid,38
robin,38
unnatural,38
pause,38
virgilia,38
fairies,38
cell,38
douglas,38
windsor,38
tut,38
osw,38
feeble,37
stage,37
babe,37
abide,37
rotten,37
amiss,37
special,37
tame,37
ruin,37
bell,37
profit,37
slept,37
bent,37
dignity,37
betray,37
difference,37
stays,37
companion,37
hangs,37
deliver'd,37
assur'd,37
ambitious,37
slew,37
heartily,37
pieces,37
unhappy,37
trade,37
devils,37
earnest,37
banishment,37
marks,37
banish,37
mess,37
peers,37
duncan,37
bora,37
husband's,36
defence,36
silent,36
sought,36
sins,36
nights,36
sway,36
acquaintance,36
monument,36
mouths,36
familiar,36
fruit,36
lip,36
committed,36
mistress',36
groans,36
senses,36
dramatis,36
personae,36
necessity,36
courtier,36
worn,36
deer,36
pour,36
language,36
bravely,36
leg,36
unworthy,36
cares,36
nobly,36
entertainment,36
instrument,36
friendly,36
nobility,36
smooth,36
seem'd,36
stay'd,36
retire,36
slaves,36
senior,36
books,36
belly,36
bawd,36
goths,36
passing,36
scotland,36
withdraw,36
cur,36
handkerchief,36
edgar,36
nathaniel,36
pedant,36
montano,36
car,35
huge,35
morn,35
guest,35
confound,35
jealousy,35
willingly,35
saucy,35
tall,35
felt,35
pleasures,35
express,35
partly,35
tyranny,35
snow,35
passage,35
blown,35
italy,35
reward,35
serves,35
attendant,35
perform'd,35
kindly,35
delay,35
e'en,35
angels,35
whip,35
pocket,35
speak'st,35
glove,35
jupiter,35
scape,35
plays,35
corin,35
envious,35
coz,35
players,35
hat,35
rob,35
park,35
dew,35
polonius,35
wor,35
honor,35
robert,35
gloucester's,35
cranmer,35
titinius,35
athenian,35
lennox,35
height,34
rhyme,34
lines,34
boast,34
written,34
length,34
visage,34
messengers,34
league,34
falsehood,34
groan,34
services,34
lamb,34
urge,34
chase,34
crying,34
marvel,34
observe,34
attempt,34
kin,34
fox,34
enforce,34
drive,34
direct,34
discover,34
chang'd,34
cat,34
hercules,34
moved,34
sink,34
alexas,34
temper,34
prayer,34
drew,34
dish,34
reveng'd,34
miserable,34
frederick,34
tremble,34
circumstance,34
dick,34
troyan,34
gardiner,34
lucilius,34
lusty,33
possession,33
heaven's,33
travel,33
physic,33
sour,33
absent,33
bar,33
freedom,33
spur,33
honey,33
birds,33
deserves,33
wolf,33
pleasant,33
wondrous,33
strive,33
pomp,33
savage,33
younger,33
began,33
reading,33
resolv'd,33
horn,33
whisper,33
pursue,33
bride,33
carried,33
guarded,33
weeps,33
satisfaction,33
beasts,33
mount,33
stoop,33
pow'r,33
armed,33
diomed,33
calm,33
bleed,33
faithful,33
greek,33
hall,33
humours,33
exchange,33
nephew,33
zeal,33
island,33
verona,33
capulet,33
leads,32
time's,32
earthly,32
grecian,32
signs,32
strife,32
graves,32
grew,32
compass,32
feeling,32
bore,32
gait,32
beshrew,32
press,32
virgin,32
continue,32
start,32
in's,32
convey,32
honour'd,32
lord's,32
standing,32
pinch,32
dozen,32
conference,32
audience,32
discretion,32
alexander,32
renowned,32
shoulders,32
odd,32
queen's,32
charm,32
audrey,32
orchard,32
wisely,32
suits,32
fright,32
hunt,32
parley,32
publius,32
cor,32
knocking,32
outlaw,32
suspicion,32
williams,32
isabel,32
naples,32
dorset,32
regan,32
cressid,32
rugby,32
antigonus,32
bohemia,32
4,31
conquest,31
pitch,31
perish,31
trees,31
moment,31
youthful,31
verse,31
muse,31
remove,31
knit,31
points,31
torture,31
daily,31
mountain,31
banquet,31
siege,31
offices,31
privilege,31
stern,31
knights,31
shapes,31
error,31
smiling,31
gently,31
disdain,31
boot,31
refuse,31
breach,31
minute,31
higher,31
stream,31
vessel,31
garter,31
fields,31
rash,31
enterprise,31
band,31
tricks,31
thrown,31
seize,31
tempt,31
condemn'd,31
message,31
troubled,31
expect,31
joyful,31
appointed,31
coat,31
discharge,31
wholesome,31
ireland,31
cursed,31
secure,31
mass,31
scroop,31
vernon,31
hereford,31
goneril,31
cordelia,31
derby,31
beauty's,30
summer's,30
whereon,30
persuade,30
day's,30
slight,30
torment,30
injury,30
suppose,30
task,30
learning,30
advance,30
shook,30
provide,30
wills,30
score,30
pitiful,30
rid,30
fed,30
cool,30
famous,30
wishes,30
unfold,30
rescue,30
pate,30
ended,30
commands,30
prepar'd,30
troops,30
granted,30
prick,30
nice,30
loath,30
step,30
absolute,30
notice,30
newly,30
invisible,30
beats,30
empress,30
pluck'd,30
subtle,30
pronounce,30
mile,30
bleeding,30
terror,30
singing,30
accept,30
loyal,30
corse,30
steps,30
guildenstern,30
alice,30
pandulph,30
gar,30
beloved,29
shines,29
cover,29
toil,29
scope,29
growing,29
roses,29
space,29
kills,29
pace,29
seldom,29
ink,29
crow,29
delivered,29
petty,29
lays,29
forfeit,29
shoot,29
corrupt,29
dote,29
disease,29
amaz'd,29
rate,29
sceptre,29
cam'st,29
lent,29
laughter,29
troop,29
caught,29
county,29
sat,29
needful,29
price,29
happily,29
delicate,29
afeard,29
abus'd,29
rail,29
vi,29
possess,29
assurance,29
confusion,29
crack,29
learn'd,29
begun,29
purchase,29
basket,29
worm,29
rouse,29
weather,29
sixth,29
giddy,29
breaks,29
goose,29
mild,29
towns,29
wot,29
prince's,29
other's,29
consul,29
curses,29
stick,29
musicians,29
gall,29
fares,29
guil,29
priam,29
marshal,29
serv,29
ely,29
menelaus,29
jaquenetta,29
curtis,29
increase,28
deceive,28
sets,28
ceremony,28
contented,28
flow,28
guilt,28
wink,28
shadows,28
key,28
ocean,28
yellow,28
wing,28
praises,28
walks,28
esteem,28
drinks,28
lesser,28
defy,28
hated,28
hairs,28
lying,28
rousillon,28
commonwealth,28
running,28
cuckold,28
foreign,28
venture,28
beware,28
parting,28
easily,28
obedient,28
preparation,28
week,28
rebellion,28
nation,28
burst,28
nails,28
talk'd,28
maecenas,28
ambassador,28
belov'd,28
befall,28
pierce,28
aboard,28
wept,28
cyprus,28
beheld,28
cowards,28
conclusion,28
resolution,28
kneels,28
destruction,28
banished,28
mock'd,28
remorse,28
resolve,28
forswear,28
spit,28
temple,28
censure,28
beholding,28
conjure,28
conclude,28
dam,28
commons,28
yoke,28
roar,28
strain,28
greeks,28
supply,28
lad,28
ophelia,28
rebels,28
weapon,28
welsh,28
je,28
elinor,28
solanio,28
andrew,28
bushy,28
couldst,27
gaze,27
death's,27
sweetly,27
harsh,27
hue,27
addition,27
recompense,27
cloak,27
mightst,27
approve,27
distance,27
divide,27
share,27
jewels,27
extremity,27
tend,27
check,27
veins,27
mourn,27
arrest,27
behaviour,27
writes,27
intelligence,27
sue,27
bay,27
tied,27
busy,27
woeful,27
peevish,27
liking,27
likes,27
effects,27
wax,27
wife's,27
token,27
waters,27
prov'd,27
aloud,27
ask'd,27
breeding,27
satisfy,27
scurvy,27
terrible,27
wreck,27
undo,27
lock'd,27
knot,27
retreat,27
exceeding,27
burns,27
afternoon,27
laugh'd,27
melt,27
palm,27
mettle,27
theme,27
conceive,27
liberal,27
ha',27
recover,27
forc'd,27
cock,27
kindred,27
sitting,27
shoulder,27
woo'd,27
spleen,27
touching,27
ope,27
rul'd,27
instruments,27
confirm,27
lights,27
joys,27
oracle,27
worcester,27
grandam,27
advis'd,27
joan,27
sicilia,27
thane,27
gobbo,27
lov'st,26
hap,26
luck,26
touches,26
whate'er,26
spread,26
aspect,26
journey,26
kissing,26
cloud,26
pearl,26
sole,26
leap,26
closet,26
strangely,26
contents,26
society,26
telling,26
pays,26
owes,26
phrase,26
clerk,26
weakness,26
goddess,26
creep,26
unkind,26
bosoms,26
fee,26
swears,26
slay,26
threw,26
imagination,26
metal,26
asham'd,26
bidding,26
reach,26
profess,26
hole,26
'o,26
contract,26
shift,26
boots,26
natures,26
event,26
hears,26
shrewd,26
eldest,26
breaking,26
conditions,26
apace,26
prais'd,26
justly,26
drinking,26
pawn,26
stale,26
kiss'd,26
matters,26
spurn,26
throats,26
captains,26
manhood,26
follow'd,26
lightning,26
falling,26
turning,26
sting,26
employ'd,26
treacherous,26
urg'd,26
oak,26
mark'd,26
aegeon,26
houses,26
corioli,26
choler,26
redress,26
knocks,26
rosencrantz,26
stafford,26
froth,26
hippolyta,26
marg,26
leaving,25
fore,25
forsake,25
perfection,25
compare,25
shade,25
hung,25
ugly,25
sweetest,25
repose,25
spoil,25
another's,25
kingdoms,25
immortal,25
waking,25
term,25
rightly,25
kingly,25
whereto,25
prevent,25
evils,25
virginity,25
setting,25
